date,time,province,confirmed,released,deceased
2020-01-20,16,Daegu,0,0,0
2020-01-21,16,Daegu,0,0,0
2020-01-22,16,Daegu,0,0,0
2020-01-23,16,Daegu,0,0,0
2020-01-24,16,Daegu,0,0,0
2020-01-25,16,Daegu,0,0,0
2020-01-26,16,Daegu,0,0,0
2020-01-27,16,Daegu,0,0,0
2020-01-28,16,Daegu,0,0,0
2020-01-29,16,Daegu,0,0,0
2020-01-30,16,Daegu,0,0,0
2020-01-31,16,Daegu,0,0,0
2020-02-01,16,Daegu,0,0,0
2020-02-02,16,Daegu,0,0,0
2020-02-03,16,Daegu,0,0,0
2020-02-04,16,Daegu,0,0,0
2020-02-05,16,Daegu,0,0,0
2020-02-06,16,Daegu,0,0,0
2020-02-07,16,Daegu,0,0,0
2020-02-08,16,Daegu,0,0,0
2020-02-09,16,Daegu,0,0,0
2020-02-10,16,Daegu,0,0,0
2020-02-11,16,Daegu,0,0,0
2020-02-12,16,Daegu,0,0,0
2020-02-13,16,Daegu,0,0,0
2020-02-14,16,Daegu,0,0,0
2020-02-15,16,Daegu,0,0,0
2020-02-16,16,Daegu,0,0,0
2020-02-17,16,Daegu,0,0,0
2020-02-18,16,Daegu,1,0,0
2020-02-19,16,Daegu,10,0,0
2020-02-20,16,Daegu,19,0,0
2020-02-21,16,Daegu,80,0,0
2020-02-22,16,Daegu,83,0,0
2020-02-23,16,Daegu,117,0,1
2020-02-24,16,Daegu,173,0,1
2020-02-25,16,Daegu,60,0,4
2020-02-26,16,Daegu,167,1,0
2020-02-27,16,Daegu,422,1,0
2020-02-28,16,Daegu,448,1,0
2020-02-29,16,Daegu,656,0,4
2020-03-01,16,Daegu,468,3,1
2020-03-02,0,Daegu,377,1,4
2020-03-03,0,Daegu,520,2,6
2020-03-04,0,Daegu,406,2,4
2020-03-05,0,Daegu,321,3,2
2020-03-06,0,Daegu,366,1,3
2020-03-07,0,Daegu,390,3,1
2020-03-08,0,Daegu,297,0,4
2020-03-09,0,Daegu,190,3,0
2020-03-10,0,Daegu,92,71,3
2020-03-11,0,Daegu,131,10,6
2020-03-12,0,Daegu,73,12,4
2020-03-13,0,Daegu,61,137,0
2020-03-14,0,Daegu,62,150,3
2020-03-15,0,Daegu,41,67,2
2020-03-16,0,Daegu,35,266,0
2020-03-17,0,Daegu,32,213,4
2020-03-18,0,Daegu,46,101,1
2020-03-19,0,Daegu,97,334,7
2020-03-20,0,Daegu,34,195,2
2020-03-21,0,Daegu,69,284,6
2020-03-22,0,Daegu,43,246,2
2020-03-23,0,Daegu,24,198,7
2020-03-24,0,Daegu,31,266,6
2020-03-25,0,Daegu,14,169,4
2020-03-26,0,Daegu,26,299,2
2020-03-27,0,Daegu,34,285,4
2020-03-28,0,Daegu,71,219,3
2020-03-29,0,Daegu,23,163,5
2020-03-30,0,Daegu,14,131,5
2020-03-31,0,Daegu,60,109,3
2020-04-01,0,Daegu,20,124,1
2020-04-02,0,Daegu,21,213,2
2020-04-03,0,Daegu,9,151,4
2020-04-04,0,Daegu,27,239,1
2020-04-05,0,Daegu,7,100,5
2020-04-06,0,Daegu,13,92,2
2020-04-07,0,Daegu,13,53,5
2020-04-08,0,Daegu,9,43,3
2020-04-09,0,Daegu,4,145,2
2020-04-10,0,Daegu,0,87,3
2020-04-11,0,Daegu,7,78,3
2020-04-12,0,Daegu,2,85,1
2020-04-13,0,Daegu,3,39,1
2020-04-14,0,Daegu,3,45,5
2020-04-15,0,Daegu,1,46,3
2020-04-16,0,Daegu,4,100,3
2020-04-17,0,Daegu,0,40,1
2020-04-18,0,Daegu,3,59,1
2020-04-19,0,Daegu,2,58,1
2020-04-20,0,Daegu,1,26,2
2020-04-21,0,Daegu,2,24,1
2020-04-22,0,Daegu,1,34,1
2020-04-23,0,Daegu,4,63,1
2020-04-24,0,Daegu,2,41,0
2020-04-25,0,Daegu,3,43,0
2020-04-26,0,Daegu,1,44,2
2020-04-27,0,Daegu,1,22,1
2020-04-28,0,Daegu,2,16,1
2020-04-29,0,Daegu,3,19,1
2020-04-30,0,Daegu,0,69,1
2020-05-01,0,Daegu,0,0,0
2020-05-02,0,Daegu,0,11,2
2020-05-03,0,Daegu,4,12,0
2020-05-04,0,Daegu,0,10,0
2020-05-05,0,Daegu,0,22,2
2020-05-06,0,Daegu,0,18,1
2020-05-07,0,Daegu,0,32,1
2020-05-08,0,Daegu,3,28,0
2020-05-09,0,Daegu,0,29,0
2020-05-10,0,Daegu,2,12,0
2020-05-11,0,Daegu,0,0,0
2020-05-12,0,Daegu,1,13,1
2020-05-13,0,Daegu,3,-9,0
2020-05-14,0,Daegu,0,27,0
2020-05-15,0,Daegu,3,17,0
2020-05-16,0,Daegu,1,1,2
2020-05-17,0,Daegu,1,9,0
2020-05-18,0,Daegu,1,0,1
2020-05-19,0,Daegu,0,13,0
2020-05-20,0,Daegu,1,82,0
2020-05-21,0,Daegu,0,27,0
2020-05-22,0,Daegu,0,7,0
2020-05-23,0,Daegu,1,11,1
2020-05-24,0,Daegu,0,2,0
2020-05-25,0,Daegu,1,1,0
2020-05-26,0,Daegu,1,34,1
2020-05-27,0,Daegu,3,4,0
2020-05-28,0,Daegu,2,19,0
2020-05-29,0,Daegu,0,11,0
2020-05-30,0,Daegu,2,19,0
2020-05-31,0,Daegu,1,1,1
