date,confirmed,death,released,tested,negative
20200121,1,0,0,1,0
20200122,0,0,0,0,0
20200123,0,0,0,0,0
20200124,1,0,0,1,0
20200125,0,0,0,0,0
20200126,0,0,0,0,0
20200127,2,0,0,59,0
20200128,0,0,0,0,0
20200129,0,0,0,126,0
20200130,3,0,0,60,0
20200131,4,0,0,62,240
20200201,1,0,0,74,49
20200202,3,0,0,46,38
20200203,0,0,0,61,87
20200204,1,0,0,117,48
20200205,5,0,1,110,60
20200206,3,0,1,169,171
20200207,0,0,0,466,308
20200208,0,0,0,745,133
20200209,3,0,1,501,549
20200210,0,0,1,512,869
20200211,1,0,0,1215,983
20200212,0,0,3,1299,1276
20200213,0,0,0,887,1110
20200214,0,0,0,731,758
20200215,0,0,2,277,174
20200216,1,0,0,642,794
20200217,1,0,1,557,333
20200218,9,0,2,1062,943
20200219,7,0,4,1388,1050
20200220,58,1,0,2034,1265
20200221,100,0,1,3198,1778
20200222,229,2,1,5186,2100
20200223,175,3,0,1099,922
20200224,235,1,4,10081,4254
20200225,134,3,0,4034,2258
20200226,284,2,2,16753,9026
20200227,505,1,2,13099,7742
20200228,571,0,1,14515,9275
20200229,813,4,1,12888,7130
20200301,586,1,2,4866,6102
20200302,476,4,1,10670,9755
20200303,600,6,3,16260,13904
20200304,516,4,7,10856,17481
20200305,438,3,47,9834,16000
20200306,518,9,20,18199,17659
20200307,483,0,10,13449,15178
20200308,367,6,12,10329,10206
20200309,248,1,36,8100,9770
20200310,131,3,81,13526,12401
20200311,242,6,41,12251,11921
20200312,114,6,45,12603,13302
20200313,110,1,177,13649,13326
20200314,107,5,204,12688,12887
20200315,76,3,120,6877,8163
20200316,74,0,303,6292,7519
20200317,84,6,264,12212,9808
20200318,93,3,139,8931,9783
20200319,152,7,407,11377,11667
20200320,87,3,286,9640,9932
20200321,147,8,379,10845,10519
20200322,98,2,297,4271,5337
20200323,64,7,257,6256,7104
20200324,76,9,341,10546,8658
20200325,100,6,223,9314,10376
20200326,104,5,414,7046,6851
20200327,91,8,384,12019,11078
20200328,146,5,283,10964,9473
20200329,105,8,222,6216,7647
20200330,78,6,195,1053,2472
20200331,125,4,180,15370,11884
20200401,101,3,159,10983,11189
20200402,89,4,261,10196,8807
20200403,86,5,193,11530,10421
20200404,94,3,304,11759,10429
20200405,81,6,138,6201,6693
20200406,47,3,135,5571,5800
20200407,47,6,96,10500,9098
20200408,53,8,82,8699,11438
20200409,39,4,197,8708,11018
20200410,27,4,144,8340,8524
20200411,30,3,126,7428,8626
20200412,32,3,125,4142,4392
20200413,25,3,79,4122,4494
20200414,27,5,87,8695,7408
20200415,27,3,82,7114,6712
20200416,22,4,141,4223,4959
20200417,22,1,72,7688,7748
20200418,18,2,108,8371,8989
20200419,8,2,105,4275,5574
20200420,13,2,72,3926,4175
20200421,9,1,99,7979,7230
20200422,11,1,64,6945,7534
20200423,8,2,134,6012,7986
20200424,6,0,90,5549,6082
20200425,10,0,134,5641,5972
20200426,10,2,82,3124,3374
20200427,10,1,47,3375,3469
20200428,14,1,90,6854,6532
20200429,9,2,68,5683,6570
20200430,4,1,137,5684,5353
20200501,9,1,13,3188,3128
20200502,6,2,51,4493,4676
20200503,13,0,60,3411,3306
20200504,8,2,34,2948,3352
20200505,3,2,66,6316,5631
20200506,2,1,50,2858,3705
20200507,4,1,86,6293,5869
20200508,12,0,65,5475,5025
20200509,18,0,84,5167,4863
20200510,34,0,42,3856,2847
20200511,35,0,22,4606,3777
20200512,27,2,38,12398,6963
20200513,26,1,25,15030,11755
20200514,29,1,67,15564,14392
20200515,27,0,59,15263,16083
20200516,19,2,30,14398,15411
20200517,13,0,37,6508,7678
20200518,15,1,16,5558,7110
20200519,13,0,34,12363,11518
20200520,32,0,128,10859,11401
20200521,12,1,69,12251,10501
20200522,20,0,27,13734,11517
20200523,23,2,32,12002,10696
20200524,25,0,19,5869,7080
20200525,16,1,13,6148,7376
20200526,19,2,49,13038,10064
20200527,40,0,20,13401,14344
20200528,79,0,45,15790,14402
20200529,58,0,23,16454,14209
20200530,39,0,35,17781,16001
20200531,27,1,7,7921,10898
20200601,35,1,17,10569,9770
20200602,38,1,24,18460,13558
20200603,49,1,21,17001,18009
20200604,39,0,32,17006,16633
20200605,39,0,7,17102,16496
20200606,51,0,25,14345,15106
20200607,57,0,21,7464,8880
20200608,38,0,11,5445,7514
20200609,38,1,26,17783,14660
20200610,50,2,22,15975,17161
20200611,45,0,43,14916,15600
20200612,56,1,15,14599,15793
20200613,48,0,22,13217,14061
20200614,33,0,27,5623,7586
20200615,37,0,12,5392,5918
20200616,34,1,30,14048,12175
20200617,43,1,14,13056,14156
20200618,59,1,26,12889,12605
20200619,49,0,35,12351,12826
20200620,67,0,21,12838,12491
20200621,48,0,12,5562,6913
20200622,17,0,13,5603,6254
20200623,46,1,27,13946,11025
20200624,51,0,22,12585,14567
20200625,28,1,44,11881,13198
